"","logFC","logCPM","PValue","FDR"
"Potri.T017700",0.576135314892937,7.62631014341903,0.148206493578281,0.231273842801592
"Potri.013G012100",-0.481652254816749,6.10583002575954,0.148293174127199,0.231362460742697
"Potri.008G198300",0.454156266850464,5.85794888322668,0.148432478556029,0.231533128581956
"Potri.010G089400",0.713949950435215,6.60012043274603,0.148515137485127,0.231615386688472
"Potri.008G078400",0.469380259031066,5.37220122145261,0.148946877149506,0.23224190756188
"Potri.014G122800",0.548856323274218,7.4838616306015,0.149350845031759,0.232824882285159
"Potri.004G067300",0.447811656848294,5.82195576372182,0.149547716811992,0.233084842554333
"Potri.017G059400",-0.595811589984678,11.344921102757,0.149752454381425,0.233356955287342
"Potri.018G061800",-0.435480513392867,5.87027581294239,0.149941804754671,0.23360498566851
"Potri.017G015700",-0.757627276873252,7.86795538487753,0.150120301184061,0.23380272612774
"Potri.007G122700",0.445115398405876,6.42066921787084,0.150129140678923,0.23380272612774
"Potri.011G091200",0.419351639584783,5.84220794395291,0.150302415942257,0.234025487707316
"Potri.012G093500",-0.441969274761792,6.36688840020365,0.150403959248137,0.234136493278476
"Potri.019G053600",-0.464122899576086,8.02909750610617,0.151269357532569,0.23543632159704
"Potri.008G167600",-0.43554018999921,6.52446339366061,0.151304523247606,0.235442988153781
"Potri.015G105100",0.481788786669236,7.8523037554663,0.151334478819775,0.235442988153781
"Potri.014G158200",-0.415189961997311,5.56410221683576,0.151812249531191,0.236138828651812
"Potri.003G130900",0.613792394464347,7.295941647759,0.152343322882188,0.236917283324922
"Potri.014G044000",-0.437850690110225,6.54746216180445,0.152815046259976,0.237603145450425
"Potri.018G050200",-0.465193873242546,5.89914924071307,0.15294315101614,0.237754566954192
"Potri.014G017200",-0.47218313545627,7.48680819177489,0.152988785063332,0.237777750279155
"Potri.002G090900",-0.516939412269778,5.20482919957339,0.153147818569088,0.237977136262747
"Potri.014G047200",0.418323076055715,5.78792404975896,0.153298082743811,0.2381470654156
"Potri.001G265100",-0.481083200530914,5.39421138359006,0.153380248203717,0.2381470654156
"Potri.008G191700",-0.457530362394856,5.398866854962,0.153380248203717,0.2381470654156
"Potri.005G171700",-0.447987323997899,5.39951073505764,0.153380248203717,0.2381470654156
"Potri.001G423400",0.467690945385928,7.12593557547563,0.153984907779141,0.239037943483864
"Potri.018G042800",-0.485096593100867,5.63161174271509,0.154288091666923,0.239460563365146
"Potri.010G100200",-0.43631582415746,6.73101016079775,0.154509168168099,0.239755605778084
"Potri.014G116500",-0.469881918875217,7.7776207721124,0.154612922954338,0.239858506149158
"Potri.005G134400",0.433634614310833,6.41732068856,0.154637460682726,0.239858506149158
"Potri.016G081700",0.458830961122114,6.59521505163341,0.155005842854061,0.240381731855426
"Potri.010G209300",-0.466734051881792,5.79498040680021,0.155108550618708,0.240492824877564
"Potri.008G060800",0.427764296278065,5.97143975522305,0.155550639039,0.241129971192041
"Potri.016G091200",0.433713041447066,5.58350093907845,0.155665695809991,0.241260009124815
"Potri.006G248700",-0.430608301759157,6.37807792676619,0.155772592462146,0.241377350481885
"Potri.001G327300",-0.489138805584283,7.00072725417611,0.156042708875296,0.241705198441074
"Potri.008G161400",0.442532144834189,6.57891288685964,0.156046624885019,0.241705198441074
"Potri.003G010400",0.523929172252029,6.0142253936576,0.156136462006118,0.241795961570099
"Potri.004G099800",0.439561549133435,6.87147265546792,0.156536002909001,0.242366205744283
"Potri.008G183600",0.436153629053888,6.09147580126956,0.156681148715519,0.242542418211623
