,logFC,logCPM,PValue,FDR
Potri.008G087700,1.740784333,8.719736561,9.29E-45,4.80E-43
Potri.008G179300,2.199949292,7.848140324,9.47E-45,4.86E-43
Potri.015G098400,2.133073253,7.804106542,2.65E-44,1.35E-42
Potri.010G196400,2.948601605,6.89223601,1.65E-43,8.34E-42
Potri.002G070100,-2.42280631,7.138316294,1.96E-43,9.88E-42
Potri.009G119900,1.480609556,9.111148087,2.03E-43,1.02E-41
Potri.003G081200,-1.82684773,8.227352685,3.54E-43,1.76E-41
Potri.018G040500,-4.972233873,6.087888321,4.52E-43,2.23E-41
Potri.012G140800,-2.297590574,7.927899783,5.89E-43,2.89E-41
Potri.004G181700,2.380491479,8.789698738,8.77E-43,4.28E-41
Potri.005G029800,-6.020233097,5.952152061,9.88E-43,4.79E-41
Potri.005G231300,-1.825848508,8.073770748,1.02E-42,4.92E-41
Potri.014G175600,3.518155174,6.360805446,1.43E-42,6.85E-41
Potri.005G093200,-1.978806133,7.820262801,2.19E-42,1.04E-40
Potri.005G002100,2.210045932,7.677025319,2.52E-42,1.19E-40
Potri.001G032500,-2.489573106,7.040079845,3.96E-42,1.86E-40
Potri.016G125400,-2.407718792,7.104375918,3.99E-42,1.86E-40
Potri.015G091900,4.60596262,6.006963236,6.28E-42,2.91E-40
Potri.017G108800,1.419394689,10.12060915,7.21E-42,3.33E-40
Potri.013G131000,-3.559985082,6.417147084,7.49E-42,3.44E-40
Potri.011G134900,2.800170874,6.694370457,9.29E-42,4.24E-40
Potri.002G167900,4.380573152,6.03040497,2.13E-41,9.66E-40
Potri.005G240200,1.006693139,10.38452112,2.60E-41,1.17E-39
Potri.008G084800,-2.594816256,6.922460487,3.12E-41,1.40E-39
Potri.014G162400,2.140259754,7.232435522,4.38E-41,1.95E-39
Potri.001G240900,-2.364004533,7.151798475,5.04E-41,2.23E-39
Potri.014G161300,1.965755164,8.088079206,5.45E-41,2.40E-39
Potri.009G109800,2.399881067,6.975279153,8.19E-41,3.59E-39
Potri.007G014200,1.500155152,9.693225165,1.18E-40,5.14E-39
Potri.011G026000,-4.068782398,6.193848522,1.67E-40,7.25E-39
Potri.016G104300,1.339168006,12.04108779,1.71E-40,7.38E-39
Potri.010G132000,-2.210462898,7.219650396,1.78E-40,7.62E-39
Potri.005G193600,6.54364212,5.653696511,1.91E-40,8.16E-39
Potri.019G031200,-2.704392973,7.916316324,2.36E-40,1.00E-38
Potri.013G066600,2.03712306,7.948872785,3.28E-40,1.38E-38
Potri.003G205500,1.277244047,9.153046541,3.31E-40,1.39E-38
Potri.001G051500,-1.754918165,8.137784679,5.07E-40,2.11E-38
Potri.016G138900,1.207501395,9.561730994,5.74E-40,2.38E-38
Potri.009G121300,1.238273554,9.377332912,6.26E-40,2.58E-38
Potri.001G375500,1.582051186,8.441871846,1.87E-39,7.67E-38
Potri.001G389400,-1.991347317,8.207885357,2.03E-39,8.30E-38
Potri.T137100,4.846964678,5.850060889,2.13E-39,8.66E-38
Potri.001G373400,1.657278095,8.186192027,2.23E-39,9.03E-38
Potri.001G090700,2.223002336,7.239899016,6.11E-39,2.46E-37
Potri.008G210900,-2.449029001,6.948516803,7.26E-39,2.91E-37
Potri.001G088800,1.542674419,8.661925949,8.07E-39,3.21E-37
Potri.014G168100,-2.176297796,7.194573288,9.12E-39,3.61E-37
Potri.011G049100,-1.903269613,7.803331617,1.08E-38,4.26E-37
Potri.007G092300,-2.078940983,7.669045176,1.26E-38,4.94E-37
Potri.010G196300,1.916017337,8.492498071,1.28E-38,4.99E-37
Potri.008G212400,-1.841997806,7.915674852,3.55E-38,1.38E-36
Potri.013G161500,1.32748645,9.350895847,4.35E-38,1.68E-36
Potri.015G018800,4.3519749,5.90130183,6.11E-38,2.35E-36
Potri.004G136700,-2.281085523,7.055655398,7.51E-38,2.86E-36
Potri.006G192000,1.369322216,9.314856898,7.53E-38,2.86E-36
Potri.019G074400,3.50831837,6.164153167,1.30E-37,4.91E-36
Potri.006G067300,2.350894606,7.698017455,1.31E-37,4.94E-36
Potri.012G101600,3.017040299,6.401709093,3.16E-37,1.19E-35
Potri.001G113100,-1.977092651,7.606311664,5.36E-37,2.00E-35
Potri.002G033600,-2.029819985,7.498538332,7.90E-37,2.93E-35
Potri.002G223100,-3.20615951,6.39134304,8.17E-37,3.02E-35
Potri.004G013200,1.797870525,7.726424543,8.78E-37,3.23E-35
Potri.007G049800,1.398070848,8.576630804,1.19E-36,4.34E-35
Potri.007G044500,-2.018244589,7.293358285,1.68E-36,6.11E-35
Potri.003G176800,-1.986144401,7.539188602,2.01E-36,7.29E-35
Potri.010G161200,1.331861373,9.341647295,2.04E-36,7.37E-35
Potri.002G013700,-2.69943991,6.669829551,2.29E-36,8.24E-35
Potri.005G016600,-5.360426208,5.804923381,3.22E-36,1.15E-34
Potri.010G089300,1.661429378,8.030967291,5.65E-36,2.01E-34
Potri.001G231100,1.90831244,7.591770636,7.64E-36,2.71E-34
Potri.006G067400,1.451262902,9.160091491,8.57E-36,3.03E-34
Potri.004G086600,2.779503409,6.486677175,1.25E-35,4.38E-34
Potri.006G138900,3.894835217,5.983211905,3.77E-35,1.32E-33
Potri.004G134800,2.875887228,7.45942371,4.43E-35,1.54E-33
Potri.015G078900,1.848614188,7.904889324,4.65E-35,1.61E-33
Potri.005G193900,3.691363439,5.995220808,4.98E-35,1.72E-33
Potri.005G172400,-2.577241358,6.703848774,6.87E-35,2.36E-33
Potri.008G099300,-1.065034723,10.0599305,9.19E-35,3.14E-33
Potri.013G057200,2.014078571,7.29220336,1.18E-34,4.01E-33
Potri.012G114300,4.06932727,7.456286299,1.19E-34,4.04E-33
Potri.004G182000,2.645555695,6.835501394,1.48E-34,4.99E-33
Potri.T062100,-2.185168913,7.160656184,1.55E-34,5.18E-33
Potri.018G063500,-1.924148181,7.410302421,1.55E-34,5.18E-33
Potri.001G051600,-1.678525418,7.88827382,3.20E-34,1.07E-32
Potri.001G158400,-3.660912513,6.391527979,3.31E-34,1.10E-32
Potri.015G099200,3.088280992,6.283420242,3.60E-34,1.19E-32
Potri.002G092200,5.045776883,5.621416985,5.58E-34,1.84E-32
Potri.007G109200,6.157408922,5.485160918,1.47E-33,4.78E-32
Potri.001G083700,5.574327966,5.486406351,1.47E-33,4.78E-32
Potri.017G087200,1.369062354,9.040678719,1.55E-33,5.03E-32
Potri.006G177900,2.003716801,7.063737489,1.61E-33,5.21E-32
Potri.010G047000,2.815915998,6.351422394,3.53E-33,1.14E-31
Potri.001G028000,-2.063003961,7.079786823,4.17E-33,1.34E-31
Potri.T035300,1.777432064,7.489827885,7.82E-33,2.50E-31
Potri.010G150700,1.524035606,10.15933875,8.49E-33,2.70E-31
Potri.007G044800,-2.477864564,6.690943502,1.05E-32,3.31E-31
Potri.007G116100,1.802652671,7.432214553,1.26E-32,3.98E-31
Potri.004G036500,2.734783257,6.394213892,1.40E-32,4.41E-31
Potri.008G054700,-0.843884081,10.59070891,1.57E-32,4.92E-31
Potri.018G016900,1.099735325,9.260718489,2.47E-32,7.70E-31
Potri.017G037900,-2.218420487,6.886690973,2.70E-32,8.38E-31
Potri.001G404100,1.943611462,7.479206881,3.09E-32,9.57E-31
Potri.002G057700,1.810794013,7.613021971,3.14E-32,9.69E-31
Potri.019G079500,-1.453621382,8.227822208,3.38E-32,1.04E-30
Potri.009G028300,-1.502681296,8.833412926,3.48E-32,1.06E-30
Potri.002G031900,-1.968344478,7.139427733,3.54E-32,1.08E-30
Potri.003G125600,-2.685222987,6.519941917,4.08E-32,1.24E-30
Potri.009G048300,-2.65977985,6.515840021,7.02E-32,2.12E-30
Potri.008G131100,1.387536397,11.50397287,8.74E-32,2.63E-30
Potri.006G199900,2.33444154,6.648454779,1.57E-31,4.71E-30
Potri.005G002600,-1.897290783,7.609716154,2.36E-31,7.05E-30
Potri.010G153500,-1.243159739,8.743051894,2.51E-31,7.48E-30
Potri.009G111900,-2.220582878,6.822612492,2.93E-31,8.70E-30
Potri.015G085100,-1.660756204,8.779031489,3.11E-31,9.18E-30
Potri.010G115900,6.627575064,5.309336433,4.04E-31,1.19E-29
Potri.002G050800,2.158560365,7.22047054,4.34E-31,1.27E-29
Potri.T162900,-2.115755136,7.967401394,4.84E-31,1.41E-29
Potri.006G060800,2.051536592,6.91833188,5.45E-31,1.59E-29
Potri.001G286700,-1.313692603,8.681271902,5.77E-31,1.67E-29
Potri.006G138800,-1.934266743,7.65469212,6.99E-31,2.02E-29
Potri.003G152300,2.898720102,6.21777748,7.42E-31,2.14E-29
Potri.018G101600,1.702903904,8.107340806,8.35E-31,2.39E-29
Potri.002G119700,4.802135408,5.51527451,8.71E-31,2.49E-29
Potri.007G111500,3.242882532,6.024002577,8.87E-31,2.53E-29
Potri.001G448000,-1.784831094,7.337120375,1.02E-30,2.89E-29
Potri.001G410100,2.320438962,6.612520406,1.14E-30,3.22E-29
Potri.006G052800,1.499727519,8.521009703,1.15E-30,3.24E-29
Potri.001G007000,2.804228023,6.506079757,1.24E-30,3.47E-29
Potri.011G044800,-1.852407462,7.240143336,1.57E-30,4.38E-29
Potri.004G111400,1.611793238,7.714139253,1.94E-30,5.41E-29
Potri.009G106400,-4.399553396,5.701692301,2.61E-30,7.24E-29
Potri.001G193000,1.092001834,9.185763673,4.24E-30,1.17E-28
Potri.009G007800,1.119613405,9.114669321,6.51E-30,1.79E-28
Potri.004G163300,1.505842324,9.070974993,7.16E-30,1.97E-28
Potri.018G083500,1.258061869,9.251278975,9.11E-30,2.49E-28
Potri.006G272800,-2.781253868,6.320976091,1.21E-29,3.30E-28
Potri.004G030700,-1.696158856,7.630857873,1.39E-29,3.78E-28
Potri.008G019900,2.292012339,7.238140224,1.62E-29,4.39E-28
Potri.011G048300,-1.64279411,7.795860976,1.68E-29,4.52E-28
Potri.001G367900,-1.464233147,8.310178569,1.82E-29,4.90E-28
Potri.010G183900,-3.801152961,5.827150871,2.22E-29,5.95E-28
Potri.002G028800,-2.002894844,6.96333121,2.24E-29,5.99E-28
Potri.014G162800,-1.277576123,8.540807013,2.40E-29,6.39E-28
Potri.012G033900,6.381927641,5.226720375,2.58E-29,6.84E-28
Potri.001G025200,-1.5993353,8.690073422,2.93E-29,7.74E-28
Potri.003G150700,-1.981317535,6.983648243,3.34E-29,8.79E-28
Potri.003G152000,3.235896478,5.91809008,3.97E-29,1.04E-27
Potri.001G154100,-2.058467751,6.89364743,4.07E-29,1.06E-27
Potri.002G208400,-3.172497767,6.076859145,4.11E-29,1.07E-27
Potri.005G051900,-1.931168672,7.030078181,4.44E-29,1.15E-27
Potri.015G074600,-2.002716247,7.493595516,5.40E-29,1.40E-27
Potri.016G008800,1.735714778,7.549954358,5.44E-29,1.40E-27
Potri.009G063000,2.5268357,6.364668404,5.65E-29,1.45E-27
Potri.015G060000,-1.704732748,7.388956385,6.34E-29,1.63E-27
Potri.005G258400,1.814517536,7.087675785,6.84E-29,1.75E-27
Potri.007G022200,-1.920520965,7.024583759,7.02E-29,1.79E-27
Potri.019G023600,-4.19633949,5.691264308,8.96E-29,2.28E-27
Potri.015G111800,2.645600376,6.253769382,1.11E-28,2.82E-27
Potri.012G071300,-6.255437851,5.346618337,1.63E-28,4.11E-27
Potri.014G131800,-1.666115425,7.652714208,1.82E-28,4.58E-27
Potri.008G092000,0.905382814,9.738191149,1.94E-28,4.87E-27
Potri.004G067900,1.362652788,9.528904694,2.02E-28,5.04E-27
Potri.004G135300,1.611498337,7.486974925,2.79E-28,6.96E-27
Potri.004G073000,1.428520656,8.616038768,3.18E-28,7.91E-27
Potri.001G255100,7.791797782,5.171986187,4.12E-28,1.02E-26
Potri.001G270600,-1.721845333,7.301871558,4.31E-28,1.06E-26
Potri.003G193500,-2.508528657,6.442236459,4.33E-28,1.07E-26
Potri.006G104100,-4.544912206,5.560024058,5.91E-28,1.45E-26
Potri.005G240900,-2.623394877,6.337062795,6.01E-28,1.47E-26
Potri.006G145600,2.473765319,6.340942914,8.32E-28,2.03E-26
Potri.014G146600,-1.157729918,8.952462467,1.05E-27,2.56E-26
Potri.011G025400,1.329084868,11.21064448,1.09E-27,2.63E-26
Potri.002G104600,-2.233757102,7.814729745,1.36E-27,3.28E-26
Potri.006G245400,2.709010313,6.756142527,1.43E-27,3.44E-26
Potri.003G176900,-1.465673351,7.964107726,1.45E-27,3.47E-26
Potri.008G212500,-1.695926198,7.718722174,1.49E-27,3.57E-26
Potri.005G246000,2.426148235,6.371143619,1.87E-27,4.46E-26
Potri.016G015500,-2.154297502,9.358977583,1.89E-27,4.49E-26
Potri.001G105200,1.742668723,7.643693522,2.14E-27,5.07E-26
Potri.001G119000,1.466669184,7.889722097,2.44E-27,5.77E-26
Potri.010G205700,-0.898988422,9.687749148,2.47E-27,5.81E-26
Potri.008G055900,2.518379415,6.292766014,3.57E-27,8.39E-26
Potri.016G089500,1.182514365,9.165089054,3.89E-27,9.10E-26
Potri.002G078600,-2.545418548,6.353622414,4.14E-27,9.66E-26
Potri.002G016300,-1.650109155,7.380511776,5.04E-27,1.17E-25
Potri.012G136600,-2.04207448,7.950436003,9.18E-27,2.13E-25
Potri.005G220700,1.237910342,9.150225708,1.38E-26,3.20E-25
Potri.013G137200,1.883007419,8.943836107,1.48E-26,3.41E-25
Potri.006G048200,3.587748437,5.63596254,1.93E-26,4.44E-25
Potri.004G140600,2.448588886,6.298665424,2.04E-26,4.69E-25
Potri.008G114000,-1.928689477,6.901074179,2.32E-26,5.30E-25
Potri.013G057500,-2.887057557,6.100684831,2.68E-26,6.10E-25
Potri.003G079500,1.62648473,7.314814672,2.70E-26,6.13E-25
Potri.004G032200,-2.02665405,6.768313834,3.44E-26,7.81E-25
Potri.011G063100,2.274341948,6.427602079,4.10E-26,9.27E-25
Potri.006G124800,-1.612985413,7.513048803,4.23E-26,9.53E-25
Potri.001G270500,-2.973023146,6.032174132,4.73E-26,1.06E-24
Potri.010G224800,2.192390817,6.497562066,5.13E-26,1.15E-24
Potri.018G040600,-5.405097739,5.296218648,6.12E-26,1.37E-24
Potri.014G158400,-1.756998686,7.074194858,6.66E-26,1.48E-24
Potri.001G118800,2.909166093,5.93816056,7.87E-26,1.75E-24
Potri.003G072800,-1.174238248,8.673510386,8.10E-26,1.79E-24
Potri.010G066600,1.589459633,7.541494877,8.10E-26,1.79E-24
Potri.003G173100,1.439366797,7.930323077,8.43E-26,1.86E-24
Potri.011G044000,1.962203376,6.740450226,8.59E-26,1.89E-24
Potri.006G094100,-2.21776903,6.555260463,9.07E-26,1.99E-24
Potri.005G114000,-1.187671635,8.472244235,9.96E-26,2.18E-24
Potri.019G093800,4.000649838,5.460889239,1.47E-25,3.20E-24
Potri.002G009800,1.102201262,8.672408025,1.48E-25,3.21E-24
Potri.014G017300,-1.380826747,8.768850214,1.54E-25,3.35E-24
Potri.005G020900,1.523591825,7.480179858,1.59E-25,3.42E-24
Potri.002G202300,1.558070144,7.291054804,1.59E-25,3.42E-24
Potri.006G186600,1.787248359,7.317684659,2.13E-25,4.57E-24
Potri.003G150800,-1.139349938,9.813846034,2.23E-25,4.78E-24
Potri.019G057800,-1.121210496,8.699340857,2.80E-25,5.99E-24
Potri.005G069500,-1.470549124,7.886457863,2.97E-25,6.34E-24
Potri.009G111800,-3.177365871,5.881967494,3.92E-25,8.32E-24
Potri.004G167700,1.047061715,9.077688555,3.92E-25,8.32E-24
Potri.001G422600,2.096807289,6.560409315,4.18E-25,8.85E-24
Potri.004G047100,1.156661903,10.76002128,4.53E-25,9.55E-24
Potri.007G011000,1.17797828,8.51702415,4.59E-25,9.65E-24
Potri.010G102300,1.536296969,7.550821812,6.58E-25,1.38E-23
Potri.008G065600,1.275094265,10.35153834,6.59E-25,1.38E-23
Potri.008G159100,3.343753788,5.663979056,7.83E-25,1.63E-23
Potri.006G008500,-2.394979396,6.70147277,7.89E-25,1.64E-23
Potri.019G108500,-1.397455279,8.972835267,1.01E-24,2.10E-23
Potri.018G051300,-1.63787028,7.554680023,1.17E-24,2.41E-23
Potri.T135900,2.935236538,5.8556753,1.79E-24,3.69E-23
Potri.014G087700,-1.750896119,7.22118838,1.83E-24,3.78E-23
Potri.008G136600,2.316730142,6.304645418,1.85E-24,3.80E-23
Potri.004G188200,-1.459949946,7.737760334,2.75E-24,5.63E-23
Potri.005G229500,-2.140930133,6.547194843,2.92E-24,5.96E-23
Potri.001G438800,4.379358481,5.297106227,3.42E-24,6.98E-23
Potri.007G019900,-2.038087616,6.639253184,4.40E-24,8.95E-23
Potri.019G088600,-1.836713735,6.848946996,5.25E-24,1.06E-22
Potri.007G089000,3.605270681,5.499701603,5.54E-24,1.12E-22
Potri.010G150800,1.280279175,11.09763053,7.53E-24,1.52E-22
Potri.001G300900,-1.333831483,7.938929352,8.13E-24,1.63E-22
Potri.002G231900,1.856642763,7.227459833,8.58E-24,1.72E-22
Potri.015G007300,1.829082672,6.786776374,9.43E-24,1.89E-22
Potri.013G121900,-2.907599586,5.934072659,1.04E-23,2.07E-22
Potri.015G057800,-2.019023658,6.647218909,1.10E-23,2.19E-22
Potri.005G076100,-2.016509333,6.633524233,1.13E-23,2.25E-22
Potri.010G085200,2.088099184,6.453306467,1.23E-23,2.44E-22
Potri.011G020900,-4.572739101,5.330360026,1.26E-23,2.49E-22
