,logFC,logCPM,PValue,FDR
Potri.016G046400,7.008499063,10.16651187,0,0
Potri.010G012100,4.436600236,12.37249568,0,0
Potri.T111300,7.325455795,9.79101867,3.20E-268,8.32E-265
Potri.006G085200,4.831712617,11.8028878,2.34E-257,4.57E-254
Potri.018G100200,6.181400511,11.94599725,1.34E-227,2.09E-224
Potri.001G176000,-5.056033339,9.453979532,2.76E-226,3.58E-223
Potri.013G101000,6.709788074,9.976265622,3.16E-212,3.52E-209
Potri.006G057900,-6.328605619,8.670162554,1.03E-208,1.01E-205
Potri.013G062400,4.036076434,11.58204333,8.61E-204,7.46E-201
Potri.001G176200,-8.003985343,8.561483819,1.51E-184,1.18E-181
Potri.013G100700,8.094452231,8.329753562,8.25E-176,5.85E-173
Potri.004G032900,-4.297690627,8.555923717,1.06E-163,6.91E-161
Potri.015G106700,3.119663784,8.96643783,1.33E-152,7.99E-150
Potri.004G074000,6.561554015,8.335644008,8.65E-147,4.82E-144
Potri.014G019500,3.007889881,8.948411257,1.17E-140,6.08E-138
Potri.013G011700,7.837107667,9.847092347,8.19E-138,3.99E-135
Potri.001G040200,2.431892806,11.98931138,1.11E-133,5.07E-131
Potri.005G244700,4.121096056,8.511301385,5.16E-131,2.24E-128
Potri.003G083200,4.182742899,11.24624826,1.52E-129,6.25E-127
Potri.002G015100,3.068856181,9.299602875,3.73E-129,1.46E-126
Potri.012G141300,8.092944216,7.647216653,1.72E-124,6.39E-122
Potri.018G114800,2.491138741,9.98475648,1.86E-124,6.61E-122
Potri.012G094400,6.506338652,7.408884212,1.39E-121,4.72E-119
Potri.001G060900,11.09498776,8.820766571,1.61E-116,5.22E-114
Potri.001G176100,-4.464920599,7.860944638,2.48E-115,7.73E-113
Potri.009G142200,4.149295601,8.51799974,5.55E-108,1.66E-105
Potri.009G130100,1.43733627,10.89296118,2.09E-107,6.03E-105
Potri.004G033000,-3.345107497,8.280822749,2.31E-107,6.43E-105
Potri.004G174100,4.443837327,7.439170176,7.25E-104,1.95E-101
Potri.008G131200,1.926018372,12.95063862,2.00E-102,5.21E-100
Potri.002G017200,4.517790409,7.567326344,5.13E-102,1.29E-99
Potri.018G100300,3.48479398,9.611538072,1.58E-101,3.85E-99
Potri.003G192200,2.001176989,9.460482909,2.19E-99,5.17E-97
Potri.017G080900,4.818609166,7.888252382,2.36E-97,5.41E-95
Potri.016G054400,2.756886024,8.659986299,1.84E-96,4.10E-94
Potri.014G022900,-3.245621703,8.347542797,2.21E-96,4.80E-94
Potri.005G030100,-8.444103088,6.954512912,3.23E-95,6.81E-93
Potri.016G034800,-3.095158351,8.176497019,4.54E-95,9.33E-93
Potri.009G028800,2.708121218,8.578283124,8.52E-92,1.70E-89
Potri.009G072900,3.808721608,9.000070645,1.02E-91,1.99E-89
Potri.T132500,3.472140542,8.679829003,1.01E-90,1.92E-88
Potri.010G006800,2.596083193,9.618895776,4.03E-90,7.49E-88
Potri.012G082800,6.572041275,6.965047226,4.15E-90,7.53E-88
Potri.012G111000,4.78725526,7.062714933,1.11E-89,1.96E-87
Potri.017G040800,3.178745873,7.998706445,2.34E-89,4.06E-87
Potri.012G052400,-7.602824389,6.856844728,1.17E-86,1.98E-84
Potri.001G447500,-3.796544664,7.659744012,1.45E-86,2.41E-84
Potri.T101100,3.290396465,7.77291024,5.10E-86,8.29E-84
Potri.010G072200,2.778058069,9.479060726,1.27E-85,2.01E-83
Potri.014G145100,-2.273569548,9.02163528,7.41E-85,1.16E-82
Potri.002G122800,2.632004177,9.58818305,5.86E-84,8.97E-82
Potri.001G102400,2.789114662,10.97162505,8.64E-83,1.30E-80
Potri.015G099700,3.360577172,7.607671013,1.02E-82,1.50E-80
Potri.010G002600,4.752343158,7.374854153,8.22E-82,1.19E-79
Potri.009G037300,4.163677492,7.424242824,1.20E-79,1.70E-77
Potri.005G004800,5.862234065,7.573382547,8.36E-79,1.16E-76
Potri.007G083400,3.525293703,9.016263552,1.22E-77,1.67E-75
Potri.013G062200,3.806954601,7.354373198,3.94E-77,5.30E-75
Potri.013G005900,4.705969654,7.168102168,2.70E-76,3.57E-74
Potri.010G085300,4.71146924,6.725425998,1.16E-71,1.51E-69
Potri.001G107600,2.313933362,8.276070861,3.57E-71,4.56E-69
Potri.003G134400,-5.85406147,6.680606642,8.61E-71,1.08E-68
Potri.012G048200,1.57336882,9.845475364,1.43E-70,1.77E-68
Potri.011G026200,-3.447750702,7.459888423,2.10E-70,2.56E-68
Potri.002G165000,3.182614276,8.187282289,4.92E-70,5.90E-68
Potri.018G041400,-4.509802669,6.801099222,1.80E-66,2.12E-64
Potri.015G101700,8.124851523,7.011120217,3.78E-66,4.40E-64
Potri.006G178200,2.404278899,9.613395538,1.81E-65,2.07E-63
Potri.008G044300,5.800831525,6.428787761,4.49E-65,5.08E-63
Potri.016G013000,-1.71539697,9.265621615,1.18E-64,1.31E-62
Potri.013G061800,-1.611773399,9.701667347,1.50E-64,1.65E-62
Potri.009G141400,3.242003205,7.369067626,5.69E-64,6.16E-62
Potri.007G037300,-2.528289626,7.90287652,7.49E-64,8.01E-62
Potri.001G041300,1.874851749,11.69633199,1.61E-63,1.69E-61
Potri.018G069700,-3.096454149,7.4821297,2.68E-63,2.79E-61
Potri.002G144600,2.213066602,8.302934807,3.63E-63,3.73E-61
Potri.011G134700,1.448161142,10.49903505,5.58E-63,5.65E-61
Potri.014G103000,3.188679478,8.333614213,1.77E-62,1.77E-60
Potri.008G141000,3.383565849,9.188990188,6.36E-62,6.28E-60
Potri.001G036700,-2.95270854,7.336779618,9.06E-62,8.83E-60
Potri.010G114600,3.098876433,7.20482388,1.18E-61,1.14E-59
Potri.005G251600,2.817342906,7.240625417,2.49E-61,2.36E-59
Potri.005G078700,3.538231903,6.857381405,5.80E-61,5.45E-59
Potri.017G108500,2.794965704,8.177059751,1.20E-60,1.11E-58
Potri.012G002700,3.572616156,7.022694464,3.16E-60,2.90E-58
Potri.005G117500,-2.291056683,8.269792764,6.59E-60,5.97E-58
Potri.006G092700,2.676304339,7.716158422,7.02E-60,6.29E-58
Potri.008G061800,2.403453081,12.35686051,7.40E-60,6.56E-58
Potri.013G005800,2.954926665,8.05169915,9.39E-59,8.23E-57
Potri.006G021600,2.234548433,9.374554607,1.01E-58,8.80E-57
Potri.001G084000,2.571758271,7.863392062,1.16E-58,9.91E-57
Potri.T093900,2.602249556,7.492705077,2.47E-58,2.09E-56
Potri.003G126100,2.135808804,8.356443549,2.55E-58,2.14E-56
Potri.018G110800,2.7239675,7.359976903,2.83E-58,2.35E-56
Potri.001G173000,7.034801057,6.254368823,4.28E-58,3.52E-56
Potri.010G142600,1.537883653,9.361631739,1.22E-57,9.91E-56
Potri.005G229800,2.787855374,7.703203713,4.18E-57,3.36E-55
Potri.011G142300,3.499152538,6.769851892,1.03E-56,8.23E-55
Potri.001G405600,-3.096266291,7.069243973,1.06E-56,8.32E-55
Potri.010G100600,3.575877132,8.41783628,2.01E-56,1.57E-54
Potri.006G092400,3.41549807,6.783962886,3.55E-56,2.74E-54
Potri.010G075400,2.454712357,7.899150837,3.71E-56,2.84E-54
Potri.002G251200,2.299798163,8.60928706,4.48E-56,3.39E-54
Potri.004G136900,-2.264095482,8.365023531,5.62E-56,4.21E-54
Potri.008G194100,-2.11574747,8.717961486,7.73E-56,5.74E-54
Potri.005G251000,2.349160044,7.773195405,8.74E-56,6.43E-54
Potri.011G123300,2.799464867,7.104475138,3.23E-55,2.36E-53
Potri.007G016400,-2.204610899,8.074229828,6.45E-55,4.66E-53
Potri.003G214500,-2.888702001,7.303248272,2.96E-54,2.11E-52
Potri.002G065300,-1.837185081,9.219955948,8.82E-54,6.26E-52
Potri.002G064000,-2.567278859,7.473788401,1.05E-53,7.32E-52
Potri.019G130500,2.517508216,7.744498784,1.05E-53,7.32E-52
Potri.013G041600,2.899148551,8.060612859,2.55E-53,1.76E-51
Potri.001G073100,3.056831737,7.561241962,2.76E-53,1.89E-51
Potri.015G141300,2.657581564,7.547072259,5.43E-53,3.68E-51
Potri.T170700,2.064905018,8.377722681,1.47E-52,9.89E-51
Potri.005G122400,6.888688001,5.998321234,3.58E-52,2.39E-50
Potri.T035100,1.803496143,8.575664187,4.27E-52,2.82E-50
Potri.006G166700,2.507027406,8.421064094,8.28E-52,5.43E-50
Potri.014G019200,-2.546848644,7.326934613,1.09E-51,7.06E-50
Potri.017G036700,4.333856503,6.369541664,1.31E-51,8.48E-50
Potri.T175200,2.819426476,7.323811018,2.15E-51,1.37E-49
Potri.013G100800,6.491343798,6.025404355,3.97E-51,2.52E-49
Potri.001G002800,-6.029078844,6.172443585,1.20E-50,7.55E-49
Potri.001G268500,1.712827155,10.04800854,1.29E-50,8.04E-49
Potri.003G139000,1.695546425,8.704930472,1.65E-50,1.02E-48
Potri.005G116600,2.053545496,8.319136167,5.01E-50,3.08E-48
Potri.016G131800,2.33098913,7.59974703,5.69E-50,3.47E-48
Potri.005G006800,3.356960435,6.801231418,2.65E-49,1.60E-47
Potri.002G072100,1.471677054,9.221573137,4.14E-49,2.48E-47
Potri.003G134600,-2.067117478,8.193458937,6.34E-49,3.77E-47
Potri.010G142800,2.551812761,8.327103554,1.03E-48,6.11E-47
Potri.009G109500,2.914286094,6.855664673,1.17E-48,6.86E-47
Potri.010G003000,-4.323504291,6.389651991,1.56E-48,9.07E-47
Potri.004G000400,3.137154706,6.710454473,3.15E-48,1.82E-46
Potri.017G128600,1.848910733,8.220012608,7.11E-48,4.08E-46
Potri.009G133500,3.332439848,7.160063324,7.32E-48,4.17E-46
Potri.006G058200,-4.456584161,6.33339789,1.42E-47,8.02E-46
Potri.001G096500,-3.476154996,6.635418577,3.28E-47,1.84E-45
Potri.003G192500,-2.778142593,7.062286116,1.09E-46,6.06E-45
Potri.011G112400,3.118482269,7.167356095,1.55E-46,8.55E-45
Potri.001G028200,-2.118289345,8.747938457,4.45E-46,2.44E-44
Potri.003G122900,2.354693409,7.211241534,4.69E-46,2.56E-44
Potri.008G173400,3.426229637,6.516515892,4.94E-46,2.67E-44
Potri.012G115400,3.92712579,7.8046911,6.55E-46,3.52E-44
Potri.007G091100,1.732183434,8.491858658,1.75E-45,9.35E-44
Potri.011G026100,-3.081247478,6.751946439,2.04E-45,1.09E-43
Potri.006G136700,-1.700094199,9.19870247,2.65E-45,1.40E-43
Potri.003G119100,-2.180179334,7.743340632,2.94E-45,1.54E-43
Potri.010G227700,2.036673375,7.794036337,4.39E-45,2.28E-43
