,logFC,logCPM,PValue,FDR
Potri.014G152600,-2.925655331,8.317062471,7.65E-25,6.02E-23
Potri.013G083600,5.429061373,6.023189657,8.72E-25,6.79E-23
Potri.013G061200,2.432749906,7.830301773,1.03E-24,7.96E-23
Potri.012G127500,3.438126275,7.507082865,1.68E-24,1.28E-22
Potri.006G083900,-2.9725972,7.213508645,2.96E-24,2.23E-22
Potri.007G065400,3.680648255,6.194411977,6.60E-24,4.92E-22
Potri.005G167000,4.728576346,5.348728886,8.47E-24,6.25E-22
Potri.002G168600,-2.569667495,6.31434047,9.65E-24,7.05E-22
Potri.010G224800,3.149561514,5.9008819,1.06E-23,7.66E-22
Potri.001G149400,2.493628774,6.250864819,1.64E-23,1.18E-21
Potri.017G036700,3.266109915,7.189296068,1.71E-23,1.21E-21
Potri.014G103000,2.492181854,8.858276892,3.02E-23,2.12E-21
Potri.009G031800,3.479972961,6.982648266,3.35E-23,2.33E-21
Potri.004G168600,-2.534175571,6.1848176,3.52E-23,2.42E-21
Potri.004G055900,6.983044851,8.744195334,3.82E-23,2.60E-21
Potri.007G015500,-2.740896963,6.519643593,4.11E-23,2.77E-21
Potri.006G019500,-3.113667275,6.468469304,5.13E-23,3.43E-21
Potri.013G090200,3.02263028,7.15315059,5.56E-23,3.69E-21
Potri.002G208400,-3.184220698,7.525548489,5.91E-23,3.88E-21
Potri.005G172400,-2.243368256,7.997641094,8.01E-23,5.21E-21
Potri.001G054800,-3.144495811,6.114301043,1.04E-22,6.74E-21
Potri.006G086900,3.654426367,6.635231441,1.32E-22,8.47E-21
Potri.016G032000,-2.576423268,6.131777642,1.49E-22,9.41E-21
Potri.001G162400,3.920932036,6.694087569,1.81E-22,1.14E-20
Potri.015G094700,2.073024835,6.774529795,1.94E-22,1.21E-20
Potri.018G100200,5.373226959,5.492554104,2.10E-22,1.30E-20
Potri.T131900,2.593081203,6.674867686,2.21E-22,1.35E-20
Potri.008G065600,2.371461638,9.838474306,2.26E-22,1.37E-20
Potri.006G129200,-2.88728554,6.264585629,2.87E-22,1.73E-20
Potri.017G089800,3.059796512,6.288451561,2.93E-22,1.75E-20
Potri.001G140200,3.103896527,7.1373342,2.98E-22,1.75E-20
Potri.017G151400,-5.470687589,5.115969687,2.98E-22,1.75E-20
Potri.014G066300,5.225007123,5.981486611,3.67E-22,2.14E-20
Potri.003G138700,3.249735257,6.871952746,3.89E-22,2.24E-20
Potri.009G072900,4.459873276,5.654739856,4.17E-22,2.39E-20
Potri.012G090500,-2.37741665,7.346027171,5.24E-22,2.98E-20
Potri.015G068200,-3.223601528,5.663429006,7.16E-22,4.04E-20
Potri.003G157100,2.288065892,7.02431087,1.04E-21,5.82E-20
Potri.T111200,7.866271423,5.241312405,1.07E-21,5.93E-20
Potri.012G031400,-3.892685272,5.415240484,1.25E-21,6.89E-20
Potri.006G129700,-2.123063147,6.491637459,1.30E-21,7.11E-20
Potri.001G071000,4.279210199,6.500339938,1.94E-21,1.05E-19
Potri.002G050800,3.302106661,7.661259863,2.07E-21,1.12E-19
Potri.002G080200,4.634444117,5.547955393,2.28E-21,1.22E-19
Potri.010G141600,-2.595310561,6.558345474,2.53E-21,1.34E-19
Potri.018G130100,-2.876174598,5.824902782,2.77E-21,1.46E-19
Potri.005G200600,6.037715541,6.674517844,3.87E-21,2.02E-19
Potri.014G180300,3.395150438,7.555432367,6.02E-21,3.12E-19
Potri.012G012000,-3.200867161,5.616111231,7.72E-21,3.98E-19
Potri.006G109100,-2.975778052,8.117250199,9.90E-21,5.06E-19
Potri.002G016300,-1.948428781,6.951233212,1.49E-20,7.59E-19
Potri.001G107600,-2.405255395,7.213721085,1.78E-20,8.99E-19
Potri.001G084000,2.426960784,7.75122136,1.99E-20,9.97E-19
Potri.001G250100,-2.303087105,6.268299172,2.35E-20,1.17E-18
Potri.001G192800,5.049246495,6.696923958,3.01E-20,1.49E-18
Potri.019G057500,3.538543471,5.525601195,3.04E-20,1.49E-18
Potri.T090500,-2.532230474,6.006850698,4.10E-20,2.00E-18
Potri.002G101300,-4.041775605,5.273349767,4.55E-20,2.20E-18
Potri.017G111100,-2.71523567,8.819071738,4.60E-20,2.21E-18
Potri.001G360700,-2.423448809,6.072870698,5.65E-20,2.69E-18
Potri.004G173400,-3.379622398,5.486858374,5.70E-20,2.70E-18
Potri.017G012100,-2.562145866,6.124887657,7.79E-20,3.67E-18
Potri.001G462400,-3.961870143,5.261693819,8.57E-20,4.01E-18
Potri.003G087400,-2.181944481,6.259303222,9.63E-20,4.46E-18
Potri.T031500,-2.163658379,6.428775669,9.65E-20,4.46E-18
Potri.016G056100,3.647309988,6.065948694,1.14E-19,5.24E-18
Potri.002G145300,-2.631853295,5.887823475,1.17E-19,5.33E-18
Potri.012G032700,-2.0631953,7.075324021,1.22E-19,5.53E-18
Potri.006G177500,-2.813805106,5.762348655,1.44E-19,6.47E-18
Potri.017G097800,-2.403225509,6.051848801,1.59E-19,7.14E-18
Potri.017G098000,-2.426276176,8.395900645,1.69E-19,7.52E-18
Potri.013G080300,-3.985070355,7.536509907,1.82E-19,8.05E-18
Potri.005G059900,-3.319618646,5.465859573,1.90E-19,8.35E-18
Potri.019G031400,2.827768243,6.115198169,1.93E-19,8.41E-18
Potri.003G175900,4.292767783,5.56102681,2.27E-19,9.86E-18
Potri.001G043100,2.407672668,7.117089751,2.49E-19,1.07E-17
Potri.012G014000,2.384487159,6.063415735,2.75E-19,1.18E-17
Potri.017G151200,-2.299795082,6.116441296,3.40E-19,1.45E-17
Potri.001G237200,-2.847888811,5.737604692,4.03E-19,1.71E-17
Potri.009G109300,2.645991521,5.837282719,4.94E-19,2.08E-17
Potri.011G142800,-2.726939717,6.392370794,5.34E-19,2.23E-17
Potri.016G116400,-2.289342694,6.508972272,5.47E-19,2.28E-17
Potri.T030900,-2.694750395,5.769789358,5.61E-19,2.32E-17
Potri.012G091500,3.856143695,5.501736486,5.67E-19,2.33E-17
Potri.T035400,-2.064950555,8.307152625,8.03E-19,3.29E-17
Potri.016G015500,-2.656502565,6.572610557,8.89E-19,3.62E-17
Potri.009G098100,3.100122301,7.701326052,9.46E-19,3.83E-17
Potri.012G091300,3.452245158,5.910974707,1.07E-18,4.31E-17
Potri.003G151000,-2.141294885,6.655112295,1.13E-18,4.51E-17
Potri.019G119400,2.028067148,9.26524527,1.30E-18,5.17E-17
Potri.015G132900,6.013948871,5.349168511,1.43E-18,5.68E-17
Potri.019G073400,-2.194876128,6.161297275,1.75E-18,6.87E-17
Potri.016G120100,-1.942328622,7.368600061,1.80E-18,7.05E-17
Potri.002G176300,2.411397682,7.053300519,2.21E-18,8.60E-17
Potri.012G090000,-2.720402011,5.713698669,2.34E-18,9.06E-17
Potri.003G218400,2.395671364,6.772813897,2.50E-18,9.62E-17
Potri.006G088400,-2.124983037,7.357240816,2.58E-18,9.87E-17
Potri.004G055000,-2.165354708,7.965530007,3.05E-18,1.16E-16
Potri.006G063700,2.560001262,6.95032732,4.79E-18,1.81E-16
Potri.013G005900,2.601152229,6.531117111,7.94E-18,2.99E-16
Potri.009G102500,2.451942216,6.491727286,8.80E-18,3.30E-16
Potri.005G251000,1.887780911,8.306628476,1.06E-17,3.94E-16
Potri.018G144300,-2.278529182,7.225468924,1.17E-17,4.35E-16
Potri.006G015100,-2.09525461,6.205046815,1.26E-17,4.66E-16
Potri.009G081400,3.359458035,5.336510685,1.40E-17,5.13E-16
Potri.015G129700,2.801277361,6.919297631,1.49E-17,5.45E-16
Potri.018G144800,-2.259426021,6.029462665,1.81E-17,6.56E-16
Potri.004G086500,2.740335902,7.433858155,1.82E-17,6.58E-16
Potri.010G109300,3.413106297,5.943072083,1.84E-17,6.62E-16
Potri.T153400,-3.141634261,5.41258049,1.94E-17,6.94E-16
Potri.011G076500,3.849012878,6.984953987,2.18E-17,7.77E-16
Potri.009G014300,2.966985179,6.444035453,2.20E-17,7.81E-16
Potri.018G075200,2.259103096,6.354635866,2.48E-17,8.73E-16
Potri.003G081200,-2.621889891,6.081606758,3.04E-17,1.07E-15
Potri.011G120300,-3.596284882,5.587513989,3.93E-17,1.37E-15
Potri.019G103500,-2.908881371,5.490033115,4.01E-17,1.39E-15
Potri.003G085500,-2.48512362,8.075165401,4.49E-17,1.55E-15
Potri.004G024000,-2.483143864,5.814845184,4.84E-17,1.67E-15
Potri.010G202500,3.188992991,5.762273,5.50E-17,1.88E-15
Potri.016G125200,-1.826811954,6.451190795,5.66E-17,1.93E-15
Potri.T000600,-2.361765154,5.877701341,5.96E-17,2.02E-15
Potri.001G242600,2.285046653,6.311263557,6.47E-17,2.18E-15
Potri.004G032300,-2.310761786,5.905909042,6.47E-17,2.18E-15
Potri.005G228100,-2.16741197,6.053892639,8.49E-17,2.83E-15
Potri.T094800,-3.373479252,5.273020049,8.49E-17,2.83E-15
Potri.008G099100,-3.701668734,5.114201724,8.79E-17,2.91E-15
Potri.T100300,-2.369639362,7.078416889,1.31E-16,4.31E-15
Potri.008G121000,1.762873155,6.709002257,1.72E-16,5.66E-15
Potri.005G244700,1.844520937,8.29295967,1.74E-16,5.70E-15
Potri.009G044200,-1.844612045,6.52955044,1.94E-16,6.31E-15
Potri.001G469600,-2.09365592,6.090316588,2.27E-16,7.36E-15
Potri.003G152300,3.726587339,5.420579257,2.65E-16,8.56E-15
Potri.002G257900,-2.534896622,5.684224964,2.71E-16,8.69E-15
Potri.004G217200,2.944337016,8.827796862,2.74E-16,8.75E-15
Potri.001G078400,2.282691458,6.84235589,2.89E-16,9.19E-15
Potri.017G048700,1.75018142,6.555282157,4.04E-16,1.28E-14
Potri.003G088400,2.418982327,5.882654485,5.08E-16,1.60E-14
Potri.001G295500,3.795007927,5.494826796,5.13E-16,1.61E-14
Potri.006G241600,2.760203339,6.244902822,5.15E-16,1.61E-14
Potri.006G020000,-3.103833701,8.915154608,5.67E-16,1.76E-14
Potri.014G127700,-2.221433753,7.291255198,5.73E-16,1.78E-14
Potri.008G174100,2.071275915,6.717575553,6.06E-16,1.87E-14
Potri.T162900,-1.980428146,6.762657233,6.48E-16,1.99E-14
Potri.012G084800,-2.835321196,5.432308112,6.93E-16,2.12E-14
Potri.003G119600,2.393031311,8.164468091,7.64E-16,2.33E-14
Potri.006G173900,3.432998486,5.922437498,8.64E-16,2.62E-14
Potri.011G076900,3.911623317,5.491799704,8.77E-16,2.65E-14
Potri.001G334500,1.862900022,6.268037671,1.07E-15,3.23E-14
Potri.002G169900,-1.692428211,6.860658048,1.15E-15,3.44E-14
Potri.013G122400,-2.180113206,8.234825236,1.34E-15,4.00E-14
Potri.012G006000,2.368064639,7.140557298,1.49E-15,4.42E-14
Potri.001G448400,-2.235693938,5.837014288,2.26E-15,6.69E-14
Potri.010G188200,-2.016639622,6.067198519,2.41E-15,7.11E-14
Potri.019G000800,-2.616007801,5.526405751,2.44E-15,7.15E-14
Potri.012G023700,3.608498057,5.849774959,2.80E-15,8.19E-14
Potri.016G017100,-1.7474928,6.350023571,2.83E-15,8.22E-14
Potri.001G348100,-1.842331659,8.028727053,2.94E-15,8.53E-14
Potri.004G078800,-1.885652516,6.161700562,3.31E-15,9.54E-14
Potri.009G014100,2.88067291,5.938121083,4.28E-15,1.23E-13
Potri.012G048200,2.099058976,9.337193297,5.41E-15,1.55E-13
Potri.009G141400,3.198529569,5.190038494,5.51E-15,1.57E-13
Potri.010G184000,-2.615795533,5.467197297,6.00E-15,1.70E-13
Potri.001G019700,3.333751871,7.591134319,6.13E-15,1.73E-13
Potri.003G144100,-3.448049476,5.064814829,6.86E-15,1.93E-13
Potri.006G219100,2.443290347,7.655334896,7.08E-15,1.99E-13
Potri.001G060900,5.781433648,5.665575234,7.70E-15,2.15E-13
Potri.003G139600,2.720823946,5.98614239,8.73E-15,2.43E-13
Potri.004G216700,-1.984455215,6.044574052,9.84E-15,2.73E-13
Potri.012G042200,2.601175932,6.121435193,1.27E-14,3.51E-13
Potri.017G099100,2.311680471,6.080109549,1.28E-14,3.54E-13
Potri.011G154600,-1.721329742,6.334975408,1.45E-14,3.98E-13
Potri.002G006400,-1.953489502,6.06116994,1.51E-14,4.11E-13
Potri.T100200,-2.330539333,7.746927713,1.59E-14,4.32E-13
Potri.014G168100,-2.439971428,5.561278977,1.67E-14,4.53E-13
Potri.013G147700,1.802247071,7.956435839,1.78E-14,4.81E-13
Potri.009G067200,-1.866301135,6.305349213,1.83E-14,4.93E-13
Potri.014G129400,-3.957469061,4.804501916,1.84E-14,4.93E-13
Potri.T142400,-2.431482443,5.596025071,1.88E-14,5.02E-13
Potri.005G218500,-3.339633167,5.083486396,2.10E-14,5.59E-13
Potri.001G402600,5.405749981,5.496273944,2.37E-14,6.28E-13
Potri.009G024300,3.062502072,5.6199813,2.41E-14,6.37E-13
Potri.009G154100,-2.56586344,5.511420491,2.49E-14,6.56E-13
Potri.001G142600,-1.660107273,6.487219114,2.51E-14,6.58E-13
Potri.008G212300,3.476783913,5.981221025,2.72E-14,7.12E-13
Potri.014G103700,-2.485985716,5.549302437,2.84E-14,7.38E-13
Potri.013G144300,-2.09295663,5.871240609,2.85E-14,7.38E-13
Potri.016G031400,1.845691305,6.129240996,3.20E-14,8.27E-13
Potri.004G235400,2.924824884,5.279053563,3.49E-14,9.00E-13
Potri.001G311300,-2.166060831,5.753349877,4.38E-14,1.12E-12
Potri.009G101200,1.528713786,6.709614053,4.40E-14,1.13E-12
Potri.008G159500,2.147453462,7.560194125,5.09E-14,1.30E-12
Potri.006G272800,-2.125323605,7.574569786,5.32E-14,1.35E-12
Potri.014G118400,1.696067734,7.468570718,5.51E-14,1.39E-12
Potri.016G092700,-1.886195862,6.043552785,5.98E-14,1.51E-12
Potri.005G072000,2.332667945,5.638484187,6.27E-14,1.58E-12
Potri.003G080200,-1.926658295,5.993113671,6.56E-14,1.64E-12
Potri.004G169200,3.059110659,5.784550157,6.71E-14,1.67E-12
Potri.014G028200,1.611074113,6.41041478,7.04E-14,1.75E-12
Potri.002G057400,1.808963602,8.354094897,7.06E-14,1.75E-12
Potri.001G119000,2.024758766,6.307555712,8.62E-14,2.13E-12
Potri.014G135900,2.041990809,6.849824,9.89E-14,2.43E-12
Potri.005G211500,2.071953179,7.636585037,1.09E-13,2.66E-12
Potri.017G078100,-1.745964324,8.588220585,1.10E-13,2.69E-12
Potri.017G086200,1.840820202,6.113336908,1.38E-13,3.36E-12
Potri.011G103900,-1.759659804,6.185984646,1.39E-13,3.38E-12
Potri.005G239100,3.014163289,5.149037904,1.50E-13,3.61E-12
Potri.006G232400,-2.960027359,5.145347853,1.50E-13,3.61E-12
Potri.004G181900,-1.888451998,5.97784059,1.65E-13,3.97E-12
Potri.001G118200,-1.626803448,7.122848294,1.74E-13,4.17E-12
Potri.001G073100,2.477918184,5.437015453,1.84E-13,4.38E-12
Potri.007G001200,1.931049183,7.057482113,1.86E-13,4.42E-12
Potri.010G042000,-2.631802674,9.012500293,1.88E-13,4.47E-12
Potri.005G093200,-2.133238804,5.720399125,1.94E-13,4.58E-12
Potri.008G089000,2.882307693,5.200499059,2.02E-13,4.77E-12
Potri.005G141300,-2.379243127,5.507736857,2.32E-13,5.44E-12
Potri.006G113400,-1.655101003,7.640689193,2.35E-13,5.49E-12
Potri.004G024100,-2.234069747,7.17231603,2.39E-13,5.58E-12
Potri.002G102100,2.149931992,6.035198261,2.65E-13,6.16E-12
Potri.010G035100,1.854389624,6.554573338,2.70E-13,6.25E-12
Potri.001G328300,-1.795440159,6.079668342,2.99E-13,6.89E-12
Potri.007G015100,-1.922556915,6.201991727,3.15E-13,7.25E-12
Potri.014G161300,2.095907768,7.116146646,3.27E-13,7.51E-12
Potri.007G044800,-2.857358026,5.186374589,3.57E-13,8.16E-12
Potri.008G039600,-1.736283939,7.655646127,3.60E-13,8.21E-12
Potri.002G237500,1.810339511,6.921524551,4.01E-13,9.11E-12
Potri.003G216200,-3.124008614,5.005750774,4.12E-13,9.35E-12
Potri.008G066000,2.793584377,5.234761626,4.59E-13,1.03E-11
Potri.013G115800,-2.755443806,5.223196488,4.59E-13,1.03E-11
Potri.002G038400,-2.080241678,5.761172447,5.20E-13,1.17E-11
Potri.009G038300,1.783783036,7.829742912,5.54E-13,1.24E-11
Potri.012G039000,1.623666835,6.744633118,5.62E-13,1.25E-11
Potri.001G142200,-1.615013174,6.29903394,5.73E-13,1.27E-11
Potri.003G079500,1.71586893,7.055401913,5.97E-13,1.32E-11
Potri.002G094200,1.659702688,9.070508376,6.25E-13,1.38E-11
Potri.001G090700,2.123098874,6.783299065,7.04E-13,1.55E-11
Potri.005G176100,3.592871205,5.735861571,7.18E-13,1.58E-11
Potri.016G112000,-2.245645381,5.560624927,7.54E-13,1.65E-11
Potri.010G068100,-2.24357657,5.54888738,7.54E-13,1.65E-11
Potri.004G049600,2.113255706,6.217714103,7.62E-13,1.66E-11
Potri.002G197900,2.75865093,5.550934581,1.03E-12,2.24E-11
Potri.003G134600,-2.172083661,6.814566171,1.06E-12,2.30E-11
Potri.007G115900,1.755810825,6.782908943,1.08E-12,2.34E-11
Potri.014G038700,-1.867008527,5.916410927,1.09E-12,2.34E-11
Potri.006G003900,-2.799646325,5.155772096,1.11E-12,2.37E-11
Potri.017G151800,-1.733493572,7.039611844,1.11E-12,2.37E-11
Potri.019G131300,-1.486975724,6.584687594,1.13E-12,2.40E-11
Potri.T104400,-1.533314965,6.776826799,1.13E-12,2.41E-11
Potri.008G119900,-1.711962222,6.170693881,1.25E-12,2.64E-11
Potri.012G012600,-1.720129136,6.117068001,1.32E-12,2.79E-11
Potri.011G050500,-1.99358231,5.767257235,1.33E-12,2.80E-11
Potri.012G069700,-2.518703614,5.342532965,1.36E-12,2.85E-11
Potri.008G156800,2.466094764,5.385138589,1.54E-12,3.22E-11
Potri.002G004000,1.989900868,6.268847763,1.56E-12,3.26E-11
Potri.008G182000,1.921372043,7.009151644,1.70E-12,3.54E-11
Potri.001G190700,2.473959272,5.75803264,1.77E-12,3.68E-11
Potri.008G099300,-1.656746067,7.290448042,1.84E-12,3.80E-11
Potri.018G108500,1.925883165,5.853648698,1.91E-12,3.94E-11
Potri.011G041600,2.576680313,5.288627282,2.01E-12,4.14E-11
Potri.004G159800,2.267689017,5.521268152,2.07E-12,4.26E-11
Potri.013G057200,1.629933679,8.588536162,2.15E-12,4.41E-11
Potri.011G118900,1.838226623,11.37381337,2.30E-12,4.70E-11
Potri.001G191000,-2.55211729,6.630316348,2.40E-12,4.89E-11
Potri.009G038800,-1.518465825,7.054640695,2.41E-12,4.89E-11
Potri.006G141200,2.599047987,5.667347131,2.43E-12,4.92E-11
Potri.018G025900,-3.479251686,8.008997217,2.56E-12,5.16E-11
Potri.001G174300,1.598309511,7.015204706,2.60E-12,5.23E-11
